Name,Latitude,Longitude,Description
"DJI_20250909074941_0118_D.jpg",+61.843592885,-147.371076386,"DJI_20250909074941_0118_D.jpg"
"DJI_20250909075222_0122_D.jpg",+61.835220794,-147.366873245,"DJI_20250909075222_0122_D.jpg"
"DJI_20250909075323_0134_D.jpg",+61.835203406,-147.366745707,"DJI_20250909075323_0134_D.jpg"
"DJI_20250909075437_0142_D.jpg",+61.835117793,-147.366947164,"DJI_20250909075437_0142_D.jpg"
"DJI_20250909075437_0143_D.jpg",+61.835117793,-147.366947164,"DJI_20250909075437_0143_D.jpg"
"DJI_20250909075508_0149_D.jpg",+61.835123014,-147.366943758,"DJI_20250909075508_0149_D.jpg"
"DJI_20250909075518_0151_D.jpg",+61.835123427,-147.366943191,"DJI_20250909075518_0151_D.jpg"
"DJI_20250909080919_0184_D.jpg",+61.831741274,-147.373432394,"DJI_20250909080919_0184_D.jpg"
"DJI_20250909080952_0191_D.jpg",+61.833777369,-147.374293917,"DJI_20250909080952_0191_D.jpg"
"DJI_20250909081639_0199_D.jpg",+61.845975712,-147.342361175,"DJI_20250909081639_0199_D.jpg"
"DJI_20250909082109_0209_D.jpg",+61.842294935,-147.329300891,"DJI_20250909082109_0209_D.jpg"
"DJI_20250909082301_0217_D.jpg",+61.842695164,-147.327074401,"DJI_20250909082301_0217_D.jpg"
"DJI_20250909082313_0218_D.jpg",+61.842695774,-147.327075849,"DJI_20250909082313_0218_D.jpg"
"DJI_20250909082321_0221_D.jpg",+61.842705420,-147.326969623,"DJI_20250909082321_0221_D.jpg"
"DJI_20250909082345_0224_D.jpg",+61.842700067,-147.327041924,"DJI_20250909082345_0224_D.jpg"
"DJI_20250909082404_0227_D.jpg",+61.842687593,-147.327221347,"DJI_20250909082404_0227_D.jpg"
"DJI_20250909082412_0228_D.jpg",+61.842651127,-147.327746260,"DJI_20250909082412_0228_D.jpg"
"DJI_20250909082423_0229_D.jpg",+61.842627392,-147.328125878,"DJI_20250909082423_0229_D.jpg"
"DJI_20250909082435_0231_D.jpg",+61.842626190,-147.328142172,"DJI_20250909082435_0231_D.jpg"
"DJI_20250909082448_0233_D.jpg",+61.842626061,-147.328143006,"DJI_20250909082448_0233_D.jpg"
"DJI_20250909082454_0234_D.jpg",+61.842626048,-147.328142886,"DJI_20250909082454_0234_D.jpg"
"DJI_20250909082517_0237_D.jpg",+61.842625653,-147.328142251,"DJI_20250909082517_0237_D.jpg"
"DJI_20250909082604_0244_D.jpg",+61.842457087,-147.328783401,"DJI_20250909082604_0244_D.jpg"
"DJI_20250909082611_0245_D.jpg",+61.842431621,-147.329228677,"DJI_20250909082611_0245_D.jpg"
"DJI_20250909082622_0246_D.jpg",+61.842420217,-147.329387267,"DJI_20250909082622_0246_D.jpg"
"DJI_20250909083004_0255_D.jpg",+61.842778771,-147.327183831,"DJI_20250909083004_0255_D.jpg"
"DJI_20250909083035_0259_D.jpg",+61.843267378,-147.325131955,"DJI_20250909083035_0259_D.jpg"
"DJI_20250909083301_0263_D.jpg",+61.843807933,-147.324140749,"DJI_20250909083301_0263_D.jpg"
"PANO_0001-Pano.jpg",+63.336225825,-145.739355920,"PANO_0001-Pano.jpg"
